RA,DEC,mag,e_Gmag,pmRA,pmDE,Plx,catalog
266.05009746265,-39.14940837732,15.423763,0.00277,-4.671,-3.678,0.21,Gaia
266.04895459176,-39.1448197279,15.488647,0.002792,-3.591,-3.472,0.0726,Gaia
266.06092702598,-39.14298636812,15.210004,0.002771,-4.98,-5.902,0.5493,Gaia
266.05424275523,-39.14633741364,13.891905,0.002777,-0.784,-2.924,0.1766,Gaia
266.04836685476,-39.13767542734,15.834473,0.002781,-2.958,-3.758,0.2319,Gaia
266.05646844013,-39.12861530631,13.84057,0.024272,-2.88,-6.737,0.1602,Gaia
266.03558675731,-39.13139730116,15.875605,0.002787,0.478,-3.001,0.8227,Gaia
266.0411531943,-39.13466519638,14.151217,0.002778,-5.808,-2.23,0.0527,Gaia
266.03628445936,-39.13489034232,14.144641,0.002767,1.696,-2.008,0.5448,Gaia
266.03114280459,-39.1343550064,14.464983,0.002773,-2.262,-2.113,0.1231,Gaia
266.04212308316,-39.13008778281,14.764746,0.002776,-5.434,-7.4,0.1159,Gaia
266.04727047073,-39.13312253017,15.278705,0.00277,2.512,0.702,1.1976,Gaia
266.07018567811,-39.12725796514,15.98215,0.002783,2.585,-13.313,1.5292,Gaia
266.06531691203,-39.12939835584,15.886501,0.002786,-0.832,-4.053,0.1141,Gaia
266.07245585809,-39.11741085125,15.250759,0.002773,-0.484,-1.795,1.8049,Gaia
266.08376106183,-39.11594775208,14.526574,0.002763,-0.56,-3.294,0.554,Gaia
266.06430003666,-39.11560437159,14.561945,0.002763,1.469,0.721,0.5034,Gaia
266.06478240736,-39.1129583617,15.450732,0.00277,0.261,-2.017,0.3408,Gaia
266.05402155705,-39.12246742046,15.730111,0.002782,-10.353,-6.008,0.3501,Gaia
266.07708868759,-39.10174886759,12.62492,0.002759,-7.291,-2.111,0.5629,Gaia
266.0636148934,-39.09408327587,15.115282,0.002765,-3.033,-5.46,0.5901,Gaia
266.06692927241,-39.0933143742,15.664313,0.00279,-0.237,-1.623,0.1397,Gaia
266.07189786407,-39.09873509158,13.873008,0.00299,-2.999,-5.618,0.0846,Gaia
266.0645796038,-39.09959113328,15.380084,0.002781,-3.441,-5.233,0.0194,Gaia
266.0688318989,-39.09498912711,14.589153,0.003284,-2.45,-5.714,0.1517,Gaia
266.02100157591,-39.12393858355,15.630904,0.002776,-0.137,0.209,0.6292,Gaia
266.02534774708,-39.12345691597,13.497992,0.002878,0.928,-11.889,2.0256,Gaia
266.03079491765,-39.12050311421,15.453194,0.002777,-5.868,-2.85,0.2196,Gaia
